Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A12,NTC,Target 1,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,N,N
B12,NTC,Target 1,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,N,N
C12,NTC,Target 1,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,N,N
A1,Std A,Target 1,STANDARD,FAM,NFQ-MGB,9.931571007,9.916320801,0.040879797,535000000,,,TRUE,0.016050824,TRUE,3,8,,N,N,N
A2,Std A,Target 1,STANDARD,FAM,NFQ-MGB,9.947383881,9.916320801,0.040879797,535000000,,,TRUE,0.016050824,TRUE,3,8,,N,N,N
A3,Std A,Target 1,STANDARD,FAM,NFQ-MGB,9.870008469,9.916320801,0.040879797,535000000,,,TRUE,0.016050824,TRUE,3,8,,N,N,N
B1,Std B,Target 1,STANDARD,FAM,NFQ-MGB,13.59048653,13.5126543,0.067456,53500000,,,TRUE,0.016050824,TRUE,3,12,,N,N,N
B2,Std B,Target 1,STANDARD,FAM,NFQ-MGB,13.47637653,13.5126543,0.067456,53500000,,,TRUE,0.016050824,TRUE,3,12,,N,N,N
B3,Std B,Target 1,STANDARD,FAM,NFQ-MGB,13.47110081,13.5126543,0.067456,53500000,,,TRUE,0.016050824,TRUE,3,12,,N,N,N
C1,Std C,Target 1,STANDARD,FAM,NFQ-MGB,16.94425201,16.89586258,0.065471329,5350000,,,TRUE,0.016050824,TRUE,3,15,,N,N,N
C2,Std C,Target 1,STANDARD,FAM,NFQ-MGB,16.82136536,16.89586258,0.065471329,5350000,,,TRUE,0.016050824,TRUE,3,15,,N,N,N
C3,Std C,Target 1,STANDARD,FAM,NFQ-MGB,16.92197037,16.89586258,0.065471329,5350000,,,TRUE,0.016050824,TRUE,3,15,,N,N,N
D1,Std D,Target 1,STANDARD,FAM,NFQ-MGB,20.44420815,20.51609039,0.169405088,535000,,,TRUE,0.016050824,TRUE,3,19,,N,N,N
D2,Std D,Target 1,STANDARD,FAM,NFQ-MGB,20.39447784,20.51609039,0.169405088,535000,,,TRUE,0.016050824,TRUE,3,19,,N,N,N
D3,Std D,Target 1,STANDARD,FAM,NFQ-MGB,20.70958328,20.51609039,0.169405088,535000,,,TRUE,0.016050824,TRUE,3,19,,N,N,N
E1,Std E,Target 1,STANDARD,FAM,NFQ-MGB,23.84113693,23.96343422,0.173083782,53500,,,TRUE,0.016050824,TRUE,3,22,,N,N,N
E2,Std E,Target 1,STANDARD,FAM,NFQ-MGB,23.88768959,23.96343422,0.173083782,53500,,,TRUE,0.016050824,TRUE,3,22,,N,N,N
E3,Std E,Target 1,STANDARD,FAM,NFQ-MGB,24.16147995,23.96343422,0.173083782,53500,,,TRUE,0.016050824,TRUE,3,23,,N,N,N
F1,Std F,Target 1,STANDARD,FAM,NFQ-MGB,28.18914795,27.76191521,0.37247023,5350,,,TRUE,0.016050824,TRUE,3,27,,N,N,N
F2,Std F,Target 1,STANDARD,FAM,NFQ-MGB,27.50543213,27.76191521,0.37247023,5350,,,TRUE,0.016050824,TRUE,3,26,,N,N,N
F3,Std F,Target 1,STANDARD,FAM,NFQ-MGB,27.59116173,27.76191521,0.37247023,5350,,,TRUE,0.016050824,TRUE,3,26,,N,N,N
G1,Std G,Target 1,STANDARD,FAM,NFQ-MGB,30.83204842,31.04914284,0.188187942,535,,,TRUE,0.016050824,TRUE,3,29,,N,N,N
G2,Std G,Target 1,STANDARD,FAM,NFQ-MGB,31.14951897,31.04914284,0.188187942,535,,,TRUE,0.016050824,TRUE,3,30,,N,N,N
G3,Std G,Target 1,STANDARD,FAM,NFQ-MGB,31.16586494,31.04914284,0.188187942,535,,,TRUE,0.016050824,TRUE,3,30,,N,N,N
H1,std H,Target 1,STANDARD,FAM,NFQ-MGB,34.59642792,34.62892151,1.486415267,53.5,,,TRUE,0.016050824,TRUE,3,33,,Y,N,N
H2,std H,Target 1,STANDARD,FAM,NFQ-MGB,33.15901947,34.62892151,1.486415267,53.5,,,TRUE,0.016050824,TRUE,3,32,,Y,N,N
H3,std H,Target 1,STANDARD,FAM,NFQ-MGB,36.13131714,34.62892151,1.486415267,53.5,,,TRUE,0.016050824,TRUE,3,35,,Y,N,N
A4,tap11,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
B4,tap12,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
C4,tap13,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
D4,tap14,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
E4,tap15,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,TRUE,0.016050824,TRUE,3,15,,N,N,N
F4,tap16,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
G4,tap17,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
H4,tap18,Target 1,UNKNOWN,FAM,NFQ-MGB,37.73048401,37.73048401,,7.153033733,7.153033733,,TRUE,0.016050824,TRUE,3,35,,N,N,N
A5,tap19,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
B5,tap20,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
C5,tap21,Target 1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.016050824,TRUE,3,39,,N,Y,Y
D5,tap22,Target 1,UNKNOWN,FAM,NFQ-MGB,34.22450256,34.22450256,,70.31362152,70.31362152,,TRUE,0.016050824,TRUE,3,33,,N,N,N
